city,tier,raw_rows,raw_cov_%,usable_hours,usable_from,usable_to,PASS
seoul,rich,19171,94.5,19827,2024-03-19,2026-07-13,True
berlin,rich,27187,59.3,19574,2024-03-23,2026-07-11,True
bangkok,rich,36376,80.2,18164,2023-03-19,2025-04-25,True
santiago,rich,75747,82.7,16288,2019-01-02,2020-12-11,True
toronto,rich,31161,72.6,13518,2018-12-16,2020-07-31,True
new_york,rich,58754,64.9,13421,2024-03-07,2025-09-20,True
amsterdam,rich,43490,47.5,11228,2025-02-24,2026-07-09,True
krakow,rich,9069,93.3,9344,2018-11-21,2019-12-31,True
los_angeles,rich,45564,86.3,8195,2024-09-12,2025-08-22,True
sydney,rich,15432,60.4,7277,2019-12-23,2020-11-08,True
madrid,rich,38755,45.9,6431,2025-04-24,2026-01-27,True
vienna,rich,41138,74.2,6241,2025-10-19,2026-07-12,True
paris,rich,19625,51.4,4457,2023-09-01,2024-03-11,True
mexico_city,rich,18600,23.7,3371,2017-01-30,2017-06-24,True
nairobi,scarce,28348,91.7,13576,2019-08-20,2021-03-10,True
manila,scarce,18132,85.6,10992,2024-11-03,2026-02-05,True
dhaka,scarce,61229,83.5,9395,2023-04-26,2024-05-25,True
accra,scarce,22579,53.2,8160,2020-05-01,2021-04-24,True
jakarta,scarce,46563,63.1,7024,2019-09-24,2020-07-24,True
hanoi,scarce,57393,77.8,6062,2019-11-13,2020-07-31,True
lahore,scarce,37468,74.4,5563,2024-07-01,2025-02-18,True
lima,scarce,31014,43.7,5227,2022-03-24,2022-11-06,True
karachi,scarce,36418,71.8,5214,2019-11-19,2020-07-01,True
bogota,scarce,41018,56.5,5175,2020-02-10,2020-09-22,True
addis_ababa,scarce,58720,68.7,3610,2016-12-23,2017-05-30,True
lagos,scarce,8440,44.2,3378,2023-04-27,2023-09-15,True
mumbai,scarce,81245,111.5,3004,2020-08-31,2021-01-26,True
kampala,scarce,51780,73.0,2836,2018-12-16,2019-04-19,True
delhi,scarce,16232,90.5,2518,2016-08-28,2016-12-22,True
london,rich,247,95.0,0,-,-,False
kathmandu,scarce,65486,80.4,0,-,-,False
kolkata,scarce,26251,64.5,0,-,-,False
