city,rep,device,e_retrain_j,e_once_j,e_chronos_j
beijing,0,gpu,3591.6592636910327,503.9862044839135,749.2711989534122
beijing,1,gpu,3163.7500712830265,504.19921851687974,45.10066195462841
beijing,2,gpu,3042.6396756234603,537.3814043484664,44.61920898785756
seoul,0,gpu,2510.6096170909377,457.5457761275311,53.121319238282965
seoul,1,gpu,2589.0500425356277,461.51924552022155,44.00582442390589
seoul,2,gpu,2565.9612323162273,405.32544796803506,44.08987590706603
nairobi,0,gpu,2120.2860684668667,355.4670135277438,47.22347874044463
nairobi,1,gpu,2117.918757620418,370.23776617299393,45.38564851132881
nairobi,2,gpu,2065.1751783969876,351.75606308453956,46.35463262003539
beijing,0,cpu,1915.9745902951977,336.39930595593415,16.028424385942827
beijing,1,cpu,1879.4811859785261,289.63965724183305,16.12524087765275
beijing,2,cpu,1920.3456224994457,338.50871515564364,16.00466794876253
seoul,0,cpu,1424.464480816629,226.81590539840366,16.07240264382275
seoul,1,cpu,1519.8237226329677,273.4839118209946,15.333319566515561
seoul,2,cpu,1488.6569735758706,246.30147051852458,16.14349192244001
nairobi,0,cpu,1194.1243242968453,224.84940482769795,16.761563677351266
nairobi,1,cpu,1229.424500253677,190.05815852485503,15.74536891253491
nairobi,2,cpu,1251.098704569213,221.05455995798863,15.535217439410506
