city,model,n_reps,mean_j_per_1k,sd_j_per_1k,sd_over_mean,exceeds_20pct_gate
beijing,chronos,5,1229.338,240.9275670611398,0.1959815502824608,False
beijing,chronos_cov,5,763.29,102.34258961937596,0.13408087308804775,False
beijing,lgbm_direct,5,15061.14,2373.710275475926,0.1576049539062731,False
beijing,nas_gru,5,13237.454000000002,2690.1488122276796,0.203222523925498,True
beijing,seasonal_naive,5,2.13,0.42573465914816,0.19987542683012208,False
nairobi,chronos,5,1946.1879999999996,1940.3273751792503,0.9969886645993351,True
nairobi,chronos_cov,5,842.174,108.8602568892799,0.12926100412655805,False
nairobi,lgbm_direct,5,9460.714,835.7768009044044,0.0883418313780973,False
nairobi,nas_gru,5,7297.9,104.58458179865688,0.014330777593370269,False
nairobi,seasonal_naive,5,16.016,19.272595310440156,1.2033338730294805,True
seoul,chronos,5,1025.2540000000001,141.31936608264272,0.13783839524902386,False
seoul,chronos_cov,5,781.4559999999999,94.16261243189884,0.12049637142961196,False
seoul,lgbm_direct,5,10832.048,406.09389760251344,0.03749003859681137,False
seoul,nas_gru,5,7496.356,440.4381315576567,0.058753630638360387,False
seoul,seasonal_naive,5,9.038,15.219590007618471,1.6839555219759317,True
