domain,alpha,seed,model,n_cities,mean_mase
weather,0.0,42,chronos,29,0.7924758954054146
weather,0.0,42,chronos_cov,29,0.7180287519919543
weather,0.0,42,lgbm_direct,29,0.5327409552451873
weather,0.0,42,seasonal_naive,29,1.6855603270711432
weather,0.0,42,timesfm,29,0.829157930603258
weather,0.0,42,timesfm_cov,29,0.7392061854433025
weather,1.54,42,chronos,29,0.7924758954054146
weather,1.54,42,chronos_cov,29,0.9591370126769112
weather,1.54,42,lgbm_direct,29,0.6845234072941769
weather,1.54,42,seasonal_naive,29,1.6855603270711432
weather,1.54,42,timesfm,29,0.829157930603258
weather,1.54,42,timesfm_cov,29,0.947920373143761
weather,1.54,43,chronos,29,0.7924758954054146
weather,1.54,43,chronos_cov,29,0.9928718969121062
weather,1.54,43,lgbm_direct,29,0.6695777643813924
weather,1.54,43,seasonal_naive,29,1.6855603270711432
weather,1.54,43,timesfm,29,0.829157930603258
weather,1.54,43,timesfm_cov,29,0.9832158803258371
weather,1.0,42,chronos,29,0.7924758954054146
weather,1.0,42,chronos_cov,29,0.8584190784371223
weather,1.0,42,lgbm_direct,29,0.644501995662741
weather,1.0,42,seasonal_naive,29,1.6855603270711432
weather,1.0,42,timesfm,29,0.829157930603258
weather,1.0,42,timesfm_cov,29,0.8562825018189303
weather,1.0,43,chronos,29,0.7924758954054146
weather,1.0,43,chronos_cov,29,0.8884421044536737
weather,1.0,43,lgbm_direct,29,0.6322256107021789
weather,1.0,43,seasonal_naive,29,1.6855603270711432
weather,1.0,43,timesfm,29,0.829157930603258
weather,1.0,43,timesfm_cov,29,0.8935564579071125
weather,3.0,42,chronos,29,0.7924758954054146
weather,3.0,42,chronos_cov,29,1.1662978364600787
weather,3.0,42,lgbm_direct,29,0.74350830707736
weather,3.0,42,seasonal_naive,29,1.6855603270711432
weather,3.0,42,timesfm,29,0.829157930603258
weather,3.0,42,timesfm_cov,29,1.1308880519813205
weather,3.0,43,chronos,29,0.7924758954054146
weather,3.0,43,chronos_cov,29,1.200874604756525
weather,3.0,43,lgbm_direct,29,0.7180203826824344
weather,3.0,43,seasonal_naive,29,1.6855603270711432
weather,3.0,43,timesfm,29,0.829157930603258
weather,3.0,43,timesfm_cov,29,1.1790143061321579
pm25,0.0,42,chronos,29,0.6623812789769943
pm25,0.0,42,chronos_cov,29,0.7298732407047184
pm25,0.0,42,lgbm_direct,29,0.6623649977870779
pm25,0.0,42,seasonal_naive,29,1.0258607509910531
pm25,0.0,42,timesfm,29,0.6592403822143152
pm25,0.0,42,timesfm_cov,29,0.7156688723316167
pm25,1.54,42,chronos,29,0.6623812789769943
pm25,1.54,42,chronos_cov,29,0.7700053433675628
pm25,1.54,42,lgbm_direct,29,0.6882250386480778
pm25,1.54,42,seasonal_naive,29,1.0258607509910531
pm25,1.54,42,timesfm,29,0.6592403822143152
pm25,1.54,42,timesfm_cov,29,0.7466889465240264
pm25,1.54,43,chronos,29,0.6623812789769943
pm25,1.54,43,chronos_cov,29,0.7410354785238485
pm25,1.54,43,lgbm_direct,29,0.6934609630986707
pm25,1.54,43,seasonal_naive,29,1.0258607509910531
pm25,1.54,43,timesfm,29,0.6592403822143152
pm25,1.54,43,timesfm_cov,29,0.7243403496592107
pm25,1.0,42,chronos,29,0.6623812789769943
pm25,1.0,42,chronos_cov,29,0.7580006511859232
pm25,1.0,42,lgbm_direct,29,0.6856181684952116
pm25,1.0,42,seasonal_naive,29,1.0258607509910531
pm25,1.0,42,timesfm,29,0.6592403822143152
pm25,1.0,42,timesfm_cov,29,0.7403752086765646
pm25,1.0,43,chronos,29,0.6623812789769943
pm25,1.0,43,chronos_cov,29,0.7376711417743962
pm25,1.0,43,lgbm_direct,29,0.6894830432229111
pm25,1.0,43,seasonal_naive,29,1.0258607509910531
pm25,1.0,43,timesfm,29,0.6592403822143152
pm25,1.0,43,timesfm_cov,29,0.7232987983939706
pm25,3.0,42,chronos,29,0.6623812789769943
pm25,3.0,42,chronos_cov,29,0.765105972493454
pm25,3.0,42,lgbm_direct,29,0.707433319278321
pm25,3.0,42,seasonal_naive,29,1.0258607509910531
pm25,3.0,42,timesfm,29,0.6592403822143152
pm25,3.0,42,timesfm_cov,29,0.7381221911803254
pm25,3.0,43,chronos,29,0.6623812789769943
pm25,3.0,43,chronos_cov,29,0.7379913118552606
pm25,3.0,43,lgbm_direct,29,0.7059943355775443
pm25,3.0,43,seasonal_naive,29,1.0258607509910531
pm25,3.0,43,timesfm,29,0.6592403822143152
pm25,3.0,43,timesfm_cov,29,0.7242988719900998
