city,tier,usable_from,usable_to,usable_hours,overlap_days,span_days,overlap_frac
mumbai,scarce,2020-08-31,2021-01-26,3004,148,148,1.0
accra,scarce,2020-05-01,2021-04-24,8160,358,358,1.0
bogota,scarce,2020-02-10,2020-09-22,5175,225,225,1.0
sydney,rich,2019-12-23,2020-11-08,7277,312,321,0.972
hanoi,scarce,2019-11-13,2020-07-31,6062,212,261,0.812
karachi,scarce,2019-11-19,2020-07-01,5214,182,225,0.809
nairobi,scarce,2019-08-20,2021-03-10,13576,434,568,0.764
jakarta,scarce,2019-09-24,2020-07-24,7024,205,304,0.674
santiago,rich,2019-01-02,2020-12-11,16288,345,709,0.487
toronto,rich,2018-12-16,2020-07-31,13518,212,593,0.358
