domain,stratum,n_cities,model_a,model_b,mean_mase_a,mean_mase_b,mean_diff_a_minus_b,median_diff,n_cities_fm_better,underpowered,frac_of_panel,wilcoxon_stat,p_value,p_value_bh
pm25,all,29,lgbm_direct,chronos,0.6920824618513631,0.6623812789769943,0.02970118287436901,0.03723804718286211,21,False,1.0,137.0,0.08367564529180527,
pm25,pandemic_exposed,10,lgbm_direct,chronos,0.7256212612872692,0.676280137725451,0.04934112356181804,0.028326101780472457,7,False,0.345,16.0,0.275390625,0.5430094401041666
pm25,pandemic_unexposed,19,lgbm_direct,chronos,0.6744304621482548,0.6550660901620168,0.019364371986237947,0.03738726071278861,14,False,0.655,57.0,0.1336212158203125,0.445404052734375
pm25,pandemic_heavy(>=0.5),8,lgbm_direct,chronos,0.8096860759972352,0.7502316445882355,0.05945443140899963,0.03795646665438927,6,False,0.276,11.0,0.3828125,0.546875
pm25,window_ends_le_2021,15,lgbm_direct,chronos,0.8146431184743904,0.7771935522139158,0.037449566260474576,0.022829555313722494,9,False,0.517,48.0,0.52447509765625,0.640625
pm25,window_ends_gt_2021,14,lgbm_direct,chronos,0.5607674726124057,0.5393681290802925,0.02139934353211306,0.041291645738420646,12,False,0.483,17.0,0.0245361328125,0.1226806640625
weather,all,29,lgbm_direct,chronos,0.7445443762563904,0.7924758954054146,-0.04793151914902417,-0.03478659748314061,13,False,1.0,168.0,0.2941182516515255,
weather,pandemic_exposed,10,lgbm_direct,chronos,0.6249068999209413,0.6922349926767177,-0.06732809275577627,-0.05340634551736356,4,False,0.345,14.0,0.193359375,0.4833984375
weather,pandemic_unexposed,19,lgbm_direct,chronos,0.8075114690645213,0.8452342652626235,-0.03772279619810201,-0.03478659748314061,9,False,0.655,82.0,0.6225624084472656,0.640625
weather,pandemic_heavy(>=0.5),8,lgbm_direct,chronos,0.6126003189033158,0.6469779892046486,-0.03437767030133277,0.01617331710999864,4,False,0.276,14.0,0.640625,0.640625
weather,window_ends_le_2021,15,lgbm_direct,chronos,0.6675415413615688,0.8001112331634463,-0.13256969180187747,-0.11966515806737377,5,False,0.517,20.0,0.02154541015625,0.1226806640625
weather,window_ends_gt_2021,14,lgbm_direct,chronos,0.827047413643699,0.7842951763789519,0.04275223726474723,0.0580308819355404,8,False,0.483,36.0,0.3258056640625,0.5430094401041666
