domain,city,model_a,model_b,n_obs,mean_loss_diff,dm_p,dm_significant,mbb12_lo,mbb12_hi,mbb12_significant,mbb24_lo,mbb24_hi,mbb24_significant,mbb48_lo,mbb48_hi,mbb48_significant,fold_mean_diff,fold_t_p,fold_sign_p,fold_n_favouring_a,fold_significant
pm25,accra,lgbm_direct,chronos,144,0.6044902003407743,0.37116117519722436,False,-0.14343167403149581,1.589972920547482,False,-0.26117241743800657,1.9326540196631452,False,-0.3584164820143633,2.009936461531732,False,0.6044902003407743,0.40731968894121523,0.6875,2,False
pm25,addis_ababa,lgbm_direct,chronos,144,0.013250372630828918,0.9911021223692225,False,-1.8296853413914675,1.87428539313422,False,-2.270917964292925,1.5381873815966158,False,-1.0644276387618894,0.5933502215535089,False,0.013250372630828918,0.9921814815589043,0.6875,4,False
pm25,amsterdam,lgbm_direct,chronos,144,0.20762172640882723,0.4388632402527044,False,-0.1795501619887633,0.5544567694095204,False,-0.21723480317457577,0.504431402035622,False,-0.20645610589121455,0.33144067453933057,False,0.20762172640882726,0.44031196168292985,1.0,3,False
pm25,bangkok,lgbm_direct,chronos,144,0.26122403517731363,0.4960950165731416,False,-0.22240273748208902,0.933391531423058,False,-0.11849104302388866,1.005759204602832,False,0.2910517990355284,0.8662297050955987,True,0.26122403517731374,0.6076043839296725,1.0,3,False
pm25,berlin,lgbm_direct,chronos,144,0.21101062440756488,0.16744916254060002,False,-0.0853845609150883,0.4985716440887298,False,-0.0403158728398425,0.39172203809305817,False,-0.032508523785816625,0.38539785788067654,False,0.21101062440756493,0.2053477149695955,0.21875,1,False
pm25,bogota,lgbm_direct,chronos,144,-0.8053074567706757,0.09543151973403666,False,-1.5793313176007608,-0.07740606878642363,True,-1.471848505303405,0.08087918731179622,False,-1.276353786261016,0.09086766445265111,False,-0.8053074567706756,0.08429477619360025,0.6875,4,False
pm25,delhi,lgbm_direct,chronos,144,-2.8048133215095143,0.5140053073006705,False,-12.16539237346435,5.96495027167731,False,-7.299913560521604,5.884154075774587,False,-7.2978430841286315,6.658459381595745,False,-2.8048133215095135,0.386097096692173,1.0,3,False
pm25,dhaka,lgbm_direct,chronos,144,3.556859478305516,0.4458391879247582,False,-2.8418086330655337,10.617690169978523,False,-3.1442512395472035,12.347090949938465,False,-0.6708833998855864,11.689251726536206,False,3.5568594783055167,0.45786802037001884,0.6875,4,False
pm25,hanoi,lgbm_direct,chronos,144,0.6403984871087887,0.712844909142164,False,-1.5601769729184325,3.995827075835227,False,-1.7981714774084432,4.145504873093858,False,-2.0452818645462756,4.275726457076338,False,0.6403984871087883,0.7177555723686286,0.6875,4,False
pm25,jakarta,lgbm_direct,chronos,144,-2.661551833816702,0.14200659451732764,False,-4.95331171917464,-0.07151870540114073,True,-4.750997975757274,0.4000807352820478,False,-4.7863885051707165,0.7635809434001288,False,-2.6615518338167026,0.15417949703542727,0.21875,5,False
pm25,kampala,lgbm_direct,chronos,144,-0.8656908329376276,0.7820968381717504,False,-6.391666809349994,4.221798788565939,False,-6.410923742741357,3.638043005411222,False,-6.342283174716161,0.62385662534051,False,-0.8656908329376276,0.8233500735638088,1.0,3,False
