domain,model_a,model_b,lead,n_cities,mean_diff,n_favouring_a,wilcoxon_p
pm25,lgbm_direct,chronos,1,29,0.22405726249802943,12,0.18283364921808243
pm25,lgbm_direct,chronos,2,29,-0.664472459182052,16,0.41691966354846954
pm25,lgbm_direct,chronos,3,29,-0.03446068865078254,11,0.41691966354846954
pm25,lgbm_direct,chronos,4,29,0.08377113537991517,11,0.7013288475573063
pm25,lgbm_direct,chronos,5,29,-0.27256067850631555,15,0.4548785090446472
pm25,lgbm_direct,chronos,6,29,0.34338527191616447,10,0.25600792095065117
pm25,lgbm_direct,chronos,7,29,1.0169897497268094,9,0.1008644811809063
pm25,lgbm_direct,chronos,8,29,-0.0644127736239327,9,0.3692382462322712
pm25,lgbm_direct,chronos,9,29,-0.16513412600746744,9,0.18283364921808243
pm25,lgbm_direct,chronos,10,29,0.5803292706268146,8,0.05622555688023567
pm25,lgbm_direct,chronos,11,29,-0.35899319868709734,11,0.17574355751276016
pm25,lgbm_direct,chronos,12,29,-0.034742875076465236,12,0.2652079239487648
pm25,lgbm_direct,chronos,13,29,-0.4693241182684621,9,0.09633177518844604
pm25,lgbm_direct,chronos,14,29,0.3931944983877408,10,0.25600792095065117
pm25,lgbm_direct,chronos,15,29,0.5520901486580914,15,0.83135736733675
pm25,lgbm_direct,chronos,16,29,-0.2900679624854031,15,0.8983406014740467
pm25,lgbm_direct,chronos,17,29,-1.3333819738973844,14,0.31448761001229286
pm25,lgbm_direct,chronos,18,29,0.16159823250193045,18,0.608884047716856
pm25,lgbm_direct,chronos,19,29,0.10180774485200592,15,0.7818621210753918
pm25,lgbm_direct,chronos,20,29,1.066731852473732,11,0.30419324710965157
pm25,lgbm_direct,chronos,21,29,0.9797862706036975,15,0.5647306069731712
pm25,lgbm_direct,chronos,22,29,2.0775305853126707,11,0.03653542697429657
pm25,lgbm_direct,chronos,23,29,2.2930766075728535,8,0.009877141565084457
pm25,lgbm_direct,chronos,24,29,2.2105049792440834,8,0.010578293353319168
