city,tier,model,q,coverage,width
accra,scarce,seasonal_naive,26.0,0.9305555555555556,52.0
accra,scarce,lgbm_direct,15.385540901908932,0.9027777777777778,30.771081803817864
accra,scarce,chronos,12.256385803222656,0.8611111111111112,24.512771606445312
accra,scarce,chronos_cov,18.03590302650055,0.875,36.0718060530011
accra,scarce,nas_gru,14.61509895324707,0.9027777777777778,29.23019790649414
addis_ababa,scarce,seasonal_naive,42.0,0.9444444444444444,84.0
addis_ababa,scarce,lgbm_direct,21.487329877121642,0.75,42.974659754243284
addis_ababa,scarce,chronos,28.832969665527344,0.9166666666666666,57.66593933105469
addis_ababa,scarce,chronos_cov,27.950214024192476,0.9305555555555556,55.90042804838495
addis_ababa,scarce,nas_gru,29.60199546813965,0.8888888888888888,59.2039909362793
amsterdam,rich,seasonal_naive,17.4,1.0,34.8
amsterdam,rich,lgbm_direct,3.035939684354164,0.8888888888888888,6.071879368708328
amsterdam,rich,chronos,2.6437856674194338,0.8194444444444444,5.2875713348388675
amsterdam,rich,chronos_cov,3.411465157866229,0.9166666666666666,6.822930315732458
amsterdam,rich,nas_gru,6.201495361328125,1.0,12.40299072265625
bangkok,rich,seasonal_naive,8.499999999999998,0.7222222222222222,16.999999999999996
bangkok,rich,lgbm_direct,4.122976903260158,1.0,8.245953806520316
bangkok,rich,chronos,2.315323448181152,0.8611111111111112,4.630646896362304
bangkok,rich,chronos_cov,13.485718718086002,1.0,26.971437436172003
bangkok,rich,nas_gru,5.568244934082031,0.9027777777777778,11.136489868164062
berlin,rich,seasonal_naive,7.380000000000001,0.9861111111111112,14.760000000000002
berlin,rich,lgbm_direct,3.126661989011307,0.9027777777777778,6.253323978022614
berlin,rich,chronos,5.189465522766113,1.0,10.378931045532227
berlin,rich,chronos_cov,4.156273113204316,0.9305555555555556,8.312546226408632
berlin,rich,nas_gru,7.319126358032227,0.8194444444444444,14.638252716064454
bogota,scarce,seasonal_naive,27.0,1.0,54.0
bogota,scarce,lgbm_direct,20.276109924669875,1.0,40.55221984933975
bogota,scarce,chronos,23.59640598297119,1.0,47.19281196594238
bogota,scarce,chronos_cov,19.41604040327769,1.0,38.83208080655538
bogota,scarce,nas_gru,20.71527671813965,1.0,41.4305534362793
delhi,scarce,seasonal_naive,231.0,0.8888888888888888,462.0
delhi,scarce,lgbm_direct,186.87508382878494,0.9444444444444444,373.7501676575699
delhi,scarce,chronos,169.59384155273438,0.9166666666666666,339.18768310546875
delhi,scarce,chronos_cov,203.14061755256722,0.9583333333333334,406.28123510513444
delhi,scarce,nas_gru,227.4590301513672,0.9583333333333334,454.9180603027344
dhaka,scarce,seasonal_naive,211.0,0.9861111111111112,422.0
dhaka,scarce,lgbm_direct,135.498590977044,0.9583333333333334,270.997181954088
dhaka,scarce,chronos,163.73967742919922,0.9861111111111112,327.47935485839844
dhaka,scarce,chronos_cov,159.978866613821,0.9861111111111112,319.957733227642
dhaka,scarce,nas_gru,149.1955795288086,0.9722222222222222,298.3911590576172
hanoi,scarce,seasonal_naive,58.0,0.9166666666666666,116.0
hanoi,scarce,lgbm_direct,54.93781395387263,1.0,109.87562790774525
hanoi,scarce,chronos,50.27210807800293,0.9722222222222222,100.54421615600586
hanoi,scarce,chronos_cov,62.61475822159387,1.0,125.22951644318773
hanoi,scarce,nas_gru,42.61295700073242,0.9444444444444444,85.22591400146484
jakarta,scarce,seasonal_naive,37.0,0.9027777777777778,74.0
jakarta,scarce,lgbm_direct,30.959700363411542,1.0,61.919400726823085
jakarta,scarce,chronos,42.54289245605469,1.0,85.08578491210938
jakarta,scarce,chronos_cov,34.45002071167477,0.9722222222222222,68.90004142334953
jakarta,scarce,nas_gru,27.9248046875,0.9722222222222222,55.849609375
kampala,scarce,seasonal_naive,79.0,0.9027777777777778,158.0
kampala,scarce,lgbm_direct,55.14848665925872,0.9444444444444444,110.29697331851744
kampala,scarce,chronos,62.52924346923828,0.9722222222222222,125.05848693847656
kampala,scarce,chronos_cov,62.07250387382532,0.9444444444444444,124.14500774765064
kampala,scarce,nas_gru,43.17592239379883,0.875,86.35184478759766
karachi,scarce,seasonal_naive,17.0,0.8194444444444444,34.0
karachi,scarce,lgbm_direct,12.473961810525509,0.7916666666666666,24.947923621051018
karachi,scarce,chronos,14.299600601196289,0.8888888888888888,28.599201202392578
karachi,scarce,chronos_cov,17.228720746799873,0.9166666666666666,34.457441493599745
karachi,scarce,nas_gru,16.039308547973633,0.9305555555555556,32.078617095947266
krakow,rich,seasonal_naive,56.6,0.9444444444444444,113.2
krakow,rich,lgbm_direct,14.675733636017306,0.7777777777777778,29.35146727203461
krakow,rich,chronos,20.13922393798828,0.5972222222222222,40.27844787597656
krakow,rich,chronos_cov,22.857486971976822,0.8333333333333334,45.714973943953645
krakow,rich,nas_gru,21.279158477783202,0.8888888888888888,42.558316955566404
lagos,scarce,seasonal_naive,21.1,0.9722222222222222,42.2
lagos,scarce,lgbm_direct,10.061552321290925,0.8333333333333334,20.12310464258185
lagos,scarce,chronos,11.196786499023439,0.7916666666666666,22.393572998046878
lagos,scarce,chronos_cov,13.124950652488863,0.8888888888888888,26.249901304977726
lagos,scarce,nas_gru,9.984309196472168,0.7916666666666666,19.968618392944336
lahore,scarce,seasonal_naive,288.0,1.0,576.0
lahore,scarce,lgbm_direct,86.85383828370081,0.8194444444444444,173.70767656740162
lahore,scarce,chronos,108.23725891113281,0.9027777777777778,216.47451782226562
lahore,scarce,chronos_cov,96.51807406661658,0.7083333333333334,193.03614813323316
lahore,scarce,nas_gru,102.07443237304688,0.8611111111111112,204.14886474609375
lima,scarce,seasonal_naive,35.39999999999999,1.0,70.79999999999998
lima,scarce,lgbm_direct,17.041541187739092,0.8472222222222222,34.083082375478185
lima,scarce,chronos,17.357803344726562,0.8472222222222222,34.715606689453125
lima,scarce,chronos_cov,17.267147554758935,0.8611111111111112,34.53429510951787
lima,scarce,nas_gru,22.993916320800782,0.9583333333333334,45.987832641601564
los_angeles,rich,seasonal_naive,14.232,1.0,28.464
los_angeles,rich,lgbm_direct,13.714947093628023,1.0,27.429894187256046
los_angeles,rich,chronos,11.661814880371093,1.0,23.323629760742186
los_angeles,rich,chronos_cov,8.40713731756141,0.9166666666666666,16.81427463512282
los_angeles,rich,nas_gru,11.990093231201172,1.0,23.980186462402344
madrid,rich,seasonal_naive,14.0,1.0,28.0
madrid,rich,lgbm_direct,4.190757934397855,0.9027777777777778,8.38151586879571
madrid,rich,chronos,12.565378189086914,1.0,25.130756378173828
madrid,rich,chronos_cov,6.884547373193268,0.875,13.769094746386536
madrid,rich,nas_gru,5.306168556213379,0.9722222222222222,10.612337112426758
manila,scarce,seasonal_naive,50.4,0.9722222222222222,100.8
manila,scarce,lgbm_direct,28.342547151020486,0.9444444444444444,56.68509430204097
manila,scarce,chronos,23.77051696777344,0.9166666666666666,47.54103393554688
manila,scarce,chronos_cov,26.004910947166174,0.9166666666666666,52.00982189433235
manila,scarce,nas_gru,29.55118331909179,0.9166666666666666,59.10236663818358
mexico_city,rich,seasonal_naive,32.0,1.0,64.0
mexico_city,rich,lgbm_direct,24.198008780867237,0.9722222222222222,48.396017561734475
