model_a,model_b,n_cities,n_significant,a_sig_wins,b_sig_wins,a_sig_wins_fdr,b_sig_wins_fdr,median_p_value
chronos,chronos_cov,29,5,4,1,2,1,0.29484565686203784
chronos,nas_gru,29,6,5,1,2,0,0.3081650040454698
chronos_cov,nas_gru,29,6,3,3,2,1,0.26975733812017794
lgbm_direct,chronos,29,3,2,1,0,0,0.4292906525427419
lgbm_direct,chronos_cov,29,3,3,0,2,0,0.4862374564486972
lgbm_direct,nas_gru,29,7,6,1,6,1,0.38353641567614705
seasonal_naive,chronos,29,18,0,18,0,13,0.028617142060296172
seasonal_naive,chronos_cov,29,12,0,12,0,9,0.08005202808198988
seasonal_naive,lgbm_direct,29,13,0,13,0,8,0.0557144941528478
seasonal_naive,nas_gru,29,15,0,15,0,11,0.04704144488586763
