city,tier,model,seed,n_hours,MAE,RMSE,MASE,nRMSE,RMSE_pct_mean,usd_per_1k,measured_j_per_1k,measured_usd_per_1k,measured_cpu_j_per_1k,measured_gpu_j_per_1k,energy_source,n_params
accra,scarce,seasonal_naive,,8160,7.75,12.257650672131263,0.9812658974255635,1.1577616425324404,68.7880630080632,5.450520187945652e-10,,,,,tdp_proxy,0
accra,scarce,lgbm_direct,,8160,6.217466307673216,9.765885476900902,0.787224213691892,0.922409025428247,54.804657391805534,1.587792540531323e-05,,,,,tdp_proxy,0
addis_ababa,scarce,seasonal_naive,,3610,19.53935185185185,24.20107703449641,2.534844532234148,1.6279535770496016,62.712886322970725,4.423610309661146e-10,,,,,tdp_proxy,0
addis_ababa,scarce,lgbm_direct,,3610,12.671024046165222,15.93638182368167,1.643814813549469,1.0720055871112877,41.29636463217852,1.4392021267705482e-05,,,,,tdp_proxy,0
amsterdam,rich,seasonal_naive,,11228,4.518740079365079,6.479121516273479,0.8137072952947317,4.417503386969963,163.23631785698458,4.581597623756453e-10,,,,,tdp_proxy,0
amsterdam,rich,lgbm_direct,,11228,1.5593442535551665,1.9338068987770165,0.28079725160293817,1.3184809859850717,48.72072808172202,1.598180390583029e-05,,,,,tdp_proxy,0
bangkok,rich,seasonal_naive,,18164,3.6670138888888886,4.798104270547836,0.5227407046291355,2.040272748493918,48.42493797020524,6.42476762819839e-10,,,,,tdp_proxy,0
bangkok,rich,lgbm_direct,,18164,1.3996485363314715,1.6747102449047917,0.19952290454420496,0.712128266006335,16.90203779550673,1.5073726070256642e-05,,,,,tdp_proxy,0
berlin,rich,seasonal_naive,,19574,2.6047569444444445,3.309015098495004,0.5156625257593834,1.7531554700117589,52.646205556685274,4.765916156867644e-10,,,,,tdp_proxy,0
berlin,rich,lgbm_direct,,19574,1.470624037026202,1.8509231334972998,0.2911387594120173,0.9806410425682122,29.448061388430073,1.5900464757132122e-05,,,,,tdp_proxy,0
bogota,scarce,seasonal_naive,,5175,6.458333333333333,9.010881624698051,1.0482547333179533,0.9885398824235339,60.747516570998094,4.476272747692915e-10,,,,,tdp_proxy,0
bogota,scarce,lgbm_direct,,5175,6.035478189005649,8.05332683468222,0.9796209413361199,0.8834912158267112,54.29209102032957,1.4327636661038115e-05,,,,,tdp_proxy,0
delhi,scarce,seasonal_naive,,2530,97.78480069659443,128.97734912718184,1.543775436309695,1.3091699308129696,56.7554307753091,4.318289265265102e-10,,,,,tdp_proxy,0
delhi,scarce,lgbm_direct,,2530,59.1192889262975,84.29170615055415,0.9333445014598512,0.8555933879553703,37.091877959462934,1.3382521614041116e-05,,,,,tdp_proxy,0
dhaka,scarce,seasonal_naive,,9395,42.78819444444444,67.14418823613023,1.2422749843184746,1.2929544208781343,84.43965858261869,4.581597623756453e-10,,,,,tdp_proxy,0
dhaka,scarce,lgbm_direct,,9395,32.98964517475903,49.780951556658685,0.9577924816471636,0.958601229407188,62.603877770916995,1.4009371006817742e-05,,,,,tdp_proxy,0
hanoi,scarce,seasonal_naive,,6062,23.12847222222222,33.55578837759553,1.0658415020893008,1.3346521812265766,76.27519378648392,6.582754942293697e-10,,,,,tdp_proxy,0
hanoi,scarce,lgbm_direct,,6062,14.651147310592576,25.20298644960614,0.6751764970385589,1.0024267783512881,57.2885564126801,1.3323195196996358e-05,,,,,tdp_proxy,0
