model_a,model_b,n_cities,n_significant,a_sig_wins,b_sig_wins,a_sig_wins_fdr,b_sig_wins_fdr,median_p_value
chronos,chronos_cov,29,7,7,0,5,0,0.27214901547061776
chronos,lgbm_direct,29,2,1,1,0,0,0.4388632402527044
chronos,nas_gru,29,6,5,1,2,0,0.3081650040454698
chronos_cov,nas_gru,29,5,2,3,2,1,0.4012360164093527
lgbm_direct,chronos_cov,29,5,5,0,2,0,0.3557315884886125
lgbm_direct,nas_gru,29,5,5,0,5,0,0.47476748731961116
seasonal_naive,chronos,29,18,0,18,0,13,0.028617142060296172
seasonal_naive,chronos_cov,29,13,0,13,0,9,0.0882358198237777
seasonal_naive,lgbm_direct,29,14,0,14,0,10,0.07797907989055237
seasonal_naive,nas_gru,29,15,0,15,0,11,0.04704144488586763
