model_a,model_b,n_cities,n_significant,a_sig_wins,b_sig_wins,median_p_value
chronos,chronos_cov,29,9,7,2,0.29534408246620786
chronos,nas_gru,29,10,8,2,0.1017186359860829
chronos_cov,nas_gru,29,6,5,1,0.24439945339787206
lgbm_direct,chronos,29,7,4,3,0.11984461585989509
lgbm_direct,chronos_cov,29,6,5,1,0.21585274596912926
lgbm_direct,nas_gru,29,7,7,0,0.2043959769650947
seasonal_naive,chronos,29,23,0,23,0.00105382710068172
seasonal_naive,chronos_cov,29,20,0,20,0.004759218292508601
seasonal_naive,lgbm_direct,29,23,0,23,0.002128086604344311
seasonal_naive,nas_gru,29,20,0,20,0.013488826806284129
