train_weeks,model,seed,MASE,usd_per_1k,per_forecast_ms,measured_usd_per_1k,energy_source
4,seasonal_naive,,1.1172622550188986,4.5552625730730745e-10,0.00012013879313599318,,tdp_proxy
4,lgbm_direct,,0.8451244087770634,1.0163573031613175e-05,2.6805027775683103,,tdp_proxy
4,chronos,,0.7122038450130723,5.8390305555601825e-05,3.3365888888915327,,tdp_proxy
4,chronos_cov,,3.714346052860121,2.2990977424544532e-05,1.3137701385454017,,tdp_proxy
12,seasonal_naive,,1.1172622550188986,4.081308294122142e-10,0.00010763890006475979,,tdp_proxy
12,lgbm_direct,,0.8870934568456165,1.0791933825632642e-05,2.8462243056613565,,tdp_proxy
12,chronos,,0.7122038450130723,2.5876119786719048e-05,1.4786354163839457,,tdp_proxy
12,chronos_cov,,3.6749020042819347,2.3164786456517403e-05,1.3237020832295658,,tdp_proxy
26,seasonal_naive,,1.1172622550188986,3.975983418058604e-10,0.00010486110113561153,,tdp_proxy
26,lgbm_direct,,0.8306060209272352,1.0569484113207013e-05,2.7875562496370145,,tdp_proxy
26,chronos,,0.7122038450130723,2.5640404517920007e-05,1.4651659724525719,,tdp_proxy
26,chronos_cov,,3.6653417041862126,2.3887001744292827e-05,1.3649715282453043,,tdp_proxy
52,seasonal_naive,,1.1172622550188986,4.1076395131380265e-10,0.00010833334979704685,,tdp_proxy
52,lgbm_direct,,0.7402041129921089,1.1282154194439634e-05,2.9755131941379256,,tdp_proxy
52,chronos,,0.7122038450130723,2.599886284315289e-05,1.4856493053230224,,tdp_proxy
52,chronos_cov,,3.7087630095458897,2.4142380212247696e-05,1.3795645835570112,,tdp_proxy
