run,price_kwh,pue,effective_wtp_multiplier,cells,cells_flipped,flip_rate
canonical_beijing_pm25,0.05,1.0,0.238,25,4,0.16
canonical_beijing_pm25,0.05,1.4,0.333,25,4,0.16
canonical_beijing_pm25,0.05,2.0,0.476,25,4,0.16
canonical_beijing_pm25,0.15,1.0,0.714,25,2,0.08
canonical_beijing_pm25,0.15,1.4,1.0,25,0,0.0
canonical_beijing_pm25,0.15,2.0,1.429,25,1,0.04
canonical_beijing_pm25,0.3,1.0,1.429,25,1,0.04
canonical_beijing_pm25,0.3,1.4,2.0,25,2,0.08
canonical_beijing_pm25,0.3,2.0,2.857,25,5,0.2
canonical_beijing_weather,0.05,1.0,0.238,25,5,0.2
canonical_beijing_weather,0.05,1.4,0.333,25,5,0.2
canonical_beijing_weather,0.05,2.0,0.476,25,5,0.2
canonical_beijing_weather,0.15,1.0,0.714,25,4,0.16
canonical_beijing_weather,0.15,1.4,1.0,25,0,0.0
canonical_beijing_weather,0.15,2.0,1.429,25,0,0.0
canonical_beijing_weather,0.3,1.0,1.429,25,0,0.0
canonical_beijing_weather,0.3,1.4,2.0,25,1,0.04
canonical_beijing_weather,0.3,2.0,2.857,25,1,0.04
canonical_nairobi_pm25,0.05,1.0,0.238,20,7,0.35
canonical_nairobi_pm25,0.05,1.4,0.333,20,5,0.25
canonical_nairobi_pm25,0.05,2.0,0.476,20,3,0.15
canonical_nairobi_pm25,0.15,1.0,0.714,20,1,0.05
canonical_nairobi_pm25,0.15,1.4,1.0,20,0,0.0
canonical_nairobi_pm25,0.15,2.0,1.429,20,2,0.1
canonical_nairobi_pm25,0.3,1.0,1.429,20,2,0.1
canonical_nairobi_pm25,0.3,1.4,2.0,20,4,0.2
canonical_nairobi_pm25,0.3,2.0,2.857,20,6,0.3
canonical_nairobi_weather,0.05,1.0,0.238,20,2,0.1
canonical_nairobi_weather,0.05,1.4,0.333,20,2,0.1
canonical_nairobi_weather,0.05,2.0,0.476,20,2,0.1
canonical_nairobi_weather,0.15,1.0,0.714,20,1,0.05
canonical_nairobi_weather,0.15,1.4,1.0,20,0,0.0
canonical_nairobi_weather,0.15,2.0,1.429,20,1,0.05
canonical_nairobi_weather,0.3,1.0,1.429,20,1,0.05
canonical_nairobi_weather,0.3,1.4,2.0,20,2,0.1
canonical_nairobi_weather,0.3,2.0,2.857,20,3,0.15
canonical_seoul_pm25,0.05,1.0,0.238,25,6,0.24
canonical_seoul_pm25,0.05,1.4,0.333,25,5,0.2
canonical_seoul_pm25,0.05,2.0,0.476,25,3,0.12
canonical_seoul_pm25,0.15,1.0,0.714,25,0,0.0
canonical_seoul_pm25,0.15,1.4,1.0,25,0,0.0
canonical_seoul_pm25,0.15,2.0,1.429,25,2,0.08
canonical_seoul_pm25,0.3,1.0,1.429,25,2,0.08
canonical_seoul_pm25,0.3,1.4,2.0,25,5,0.2
canonical_seoul_pm25,0.3,2.0,2.857,25,6,0.24
canonical_seoul_weather,0.05,1.0,0.238,25,6,0.24
canonical_seoul_weather,0.05,1.4,0.333,25,5,0.2
canonical_seoul_weather,0.05,2.0,0.476,25,4,0.16
canonical_seoul_weather,0.15,1.0,0.714,25,2,0.08
canonical_seoul_weather,0.15,1.4,1.0,25,0,0.0
canonical_seoul_weather,0.15,2.0,1.429,25,1,0.04
canonical_seoul_weather,0.3,1.0,1.429,25,1,0.04
canonical_seoul_weather,0.3,1.4,2.0,25,2,0.08
canonical_seoul_weather,0.3,2.0,2.857,25,5,0.2
