run,price_kwh,pue,effective_wtp_multiplier,cells,cells_flipped,flip_rate
causal_beijing_pm25,0.05,1.0,0.238,25,4,0.16
causal_beijing_pm25,0.05,1.4,0.333,25,4,0.16
causal_beijing_pm25,0.05,2.0,0.476,25,3,0.12
causal_beijing_pm25,0.15,1.0,0.714,25,3,0.12
causal_beijing_pm25,0.15,1.4,1.0,25,0,0.0
causal_beijing_pm25,0.15,2.0,1.429,25,0,0.0
causal_beijing_pm25,0.3,1.0,1.429,25,0,0.0
causal_beijing_pm25,0.3,1.4,2.0,25,2,0.08
causal_beijing_pm25,0.3,2.0,2.857,25,3,0.12
causal_beijing_weather,0.05,1.0,0.238,25,4,0.16
causal_beijing_weather,0.05,1.4,0.333,25,3,0.12
causal_beijing_weather,0.05,2.0,0.476,25,2,0.08
causal_beijing_weather,0.15,1.0,0.714,25,1,0.04
causal_beijing_weather,0.15,1.4,1.0,25,0,0.0
causal_beijing_weather,0.15,2.0,1.429,25,1,0.04
causal_beijing_weather,0.3,1.0,1.429,25,1,0.04
causal_beijing_weather,0.3,1.4,2.0,25,2,0.08
causal_beijing_weather,0.3,2.0,2.857,25,3,0.12
causal_nairobi_pm25,0.05,1.0,0.238,20,7,0.35
causal_nairobi_pm25,0.05,1.4,0.333,20,5,0.25
causal_nairobi_pm25,0.05,2.0,0.476,20,4,0.2
causal_nairobi_pm25,0.15,1.0,0.714,20,3,0.15
causal_nairobi_pm25,0.15,1.4,1.0,20,0,0.0
causal_nairobi_pm25,0.15,2.0,1.429,20,2,0.1
causal_nairobi_pm25,0.3,1.0,1.429,20,2,0.1
causal_nairobi_pm25,0.3,1.4,2.0,20,8,0.4
causal_nairobi_pm25,0.3,2.0,2.857,20,8,0.4
causal_nairobi_weather,0.05,1.0,0.238,20,4,0.2
causal_nairobi_weather,0.05,1.4,0.333,20,4,0.2
causal_nairobi_weather,0.05,2.0,0.476,20,2,0.1
causal_nairobi_weather,0.15,1.0,0.714,20,0,0.0
causal_nairobi_weather,0.15,1.4,1.0,20,0,0.0
causal_nairobi_weather,0.15,2.0,1.429,20,4,0.2
causal_nairobi_weather,0.3,1.0,1.429,20,4,0.2
causal_nairobi_weather,0.3,1.4,2.0,20,7,0.35
causal_nairobi_weather,0.3,2.0,2.857,20,8,0.4
causal_seoul_pm25,0.05,1.0,0.238,25,5,0.2
causal_seoul_pm25,0.05,1.4,0.333,25,4,0.16
causal_seoul_pm25,0.05,2.0,0.476,25,4,0.16
causal_seoul_pm25,0.15,1.0,0.714,25,0,0.0
causal_seoul_pm25,0.15,1.4,1.0,25,0,0.0
causal_seoul_pm25,0.15,2.0,1.429,25,1,0.04
causal_seoul_pm25,0.3,1.0,1.429,25,1,0.04
causal_seoul_pm25,0.3,1.4,2.0,25,9,0.36
causal_seoul_pm25,0.3,2.0,2.857,25,10,0.4
causal_seoul_weather,0.05,1.0,0.238,25,0,0.0
causal_seoul_weather,0.05,1.4,0.333,25,0,0.0
causal_seoul_weather,0.05,2.0,0.476,25,0,0.0
causal_seoul_weather,0.15,1.0,0.714,25,0,0.0
causal_seoul_weather,0.15,1.4,1.0,25,0,0.0
causal_seoul_weather,0.15,2.0,1.429,25,0,0.0
causal_seoul_weather,0.3,1.0,1.429,25,0,0.0
causal_seoul_weather,0.3,1.4,2.0,25,0,0.0
causal_seoul_weather,0.3,2.0,2.857,25,0,0.0
