domain,model_a,model_b,lead,n_cities,mean_diff,n_favouring_a,wilcoxon_p
weather,lgbm_direct,chronos,1,29,-0.062428934161146456,20,0.09633177518844604
weather,lgbm_direct,chronos,2,29,-0.11124606276911508,17,0.07975950092077255
weather,lgbm_direct,chronos,3,29,-0.10327379805909237,15,0.4548785090446472
weather,lgbm_direct,chronos,4,29,-0.13451432119034396,14,0.41691966354846954
weather,lgbm_direct,chronos,5,29,-0.06609077535995227,14,0.7172092758119106
weather,lgbm_direct,chronos,6,29,-0.03480150188381806,16,0.7172092758119106
weather,lgbm_direct,chronos,7,29,-0.03362536008167038,11,0.9152156375348568
weather,lgbm_direct,chronos,8,29,-0.014119924289066747,13,0.9321278370916843
weather,lgbm_direct,chronos,9,29,-0.003528003787978209,10,0.44202057644724846
weather,lgbm_direct,chronos,10,29,-0.019511135332856127,10,0.39265386015176773
weather,lgbm_direct,chronos,11,29,-0.028277879946767597,12,0.8147765882313251
weather,lgbm_direct,chronos,12,29,-0.01680731677710608,16,0.7655419819056988
weather,lgbm_direct,chronos,13,29,-0.055175507893169426,14,0.7818621210753918
weather,lgbm_direct,chronos,14,29,-0.12522733411597423,16,0.33573371544480324
weather,lgbm_direct,chronos,15,29,-0.12173889401723374,15,0.4946499206125736
weather,lgbm_direct,chronos,16,29,-0.1540574981322805,14,0.9321278370916843
weather,lgbm_direct,chronos,17,29,-0.10067464769767791,14,0.8480112254619598
weather,lgbm_direct,chronos,18,29,-0.055873219148158036,14,0.7982758991420269
weather,lgbm_direct,chronos,19,29,-0.08930984306885076,17,0.48119615763425827
weather,lgbm_direct,chronos,20,29,0.023936487844612477,15,0.9321278370916843
weather,lgbm_direct,chronos,21,29,0.03674142797499241,19,0.6391207613050938
weather,lgbm_direct,chronos,22,29,0.012796398984893083,16,0.83135736733675
weather,lgbm_direct,chronos,23,29,-0.04951706454399357,16,0.44202057644724846
weather,lgbm_direct,chronos,24,29,-0.1650580404530967,15,0.2652079239487648
