city,tier,model,q,coverage,width
accra,scarce,seasonal_naive,2.3000000000000007,1.0,4.600000000000001
accra,scarce,lgbm_direct,0.6809019364009856,0.9305555555555556,1.3618038728019712
accra,scarce,chronos,0.9021492004394531,0.875,1.8042984008789062
accra,scarce,chronos_cov,0.7530211721263846,0.9166666666666666,1.5060423442527693
accra,scarce,nas_gru,1.3741462707519538,0.8194444444444444,2.7482925415039077
addis_ababa,scarce,seasonal_naive,8.599999999999998,0.9722222222222222,17.199999999999996
addis_ababa,scarce,lgbm_direct,1.2340521046237445,0.9583333333333334,2.468104209247489
addis_ababa,scarce,chronos,6.592144775390626,1.0,13.184289550781251
addis_ababa,scarce,chronos_cov,3.4775598507244965,0.9861111111111112,6.955119701448993
addis_ababa,scarce,nas_gru,3.115206909179687,0.9583333333333334,6.230413818359374
amsterdam,rich,seasonal_naive,8.0,1.0,16.0
amsterdam,rich,lgbm_direct,6.574772016733242,1.0,13.149544033466483
amsterdam,rich,chronos,6.852849197387698,1.0,13.705698394775396
amsterdam,rich,chronos_cov,3.1841954237903636,0.6388888888888888,6.368390847580727
amsterdam,rich,nas_gru,7.010376358032225,1.0,14.02075271606445
bangkok,rich,seasonal_naive,6.399999999999999,0.9722222222222222,12.799999999999997
bangkok,rich,lgbm_direct,1.249205110757746,1.0,2.498410221515492
bangkok,rich,chronos,2.4559257507324226,0.9861111111111112,4.911851501464845
bangkok,rich,chronos_cov,1.6157566924383389,0.9861111111111112,3.2315133848766777
bangkok,rich,nas_gru,2.3935825347900384,0.9861111111111112,4.787165069580077
berlin,rich,seasonal_naive,13.500000000000004,0.9444444444444444,27.000000000000007
berlin,rich,lgbm_direct,7.072445360661529,1.0,14.144890721323058
berlin,rich,chronos,5.530268096923827,0.7777777777777778,11.060536193847653
berlin,rich,chronos_cov,5.585216576571582,0.9444444444444444,11.170433153143165
berlin,rich,nas_gru,8.540011215209958,0.8888888888888888,17.080022430419916
bogota,scarce,seasonal_naive,2.8,0.8888888888888888,5.6
bogota,scarce,lgbm_direct,1.008198392424859,0.7777777777777778,2.016396784849718
bogota,scarce,chronos,1.824533081054689,0.7777777777777778,3.649066162109378
bogota,scarce,chronos_cov,2.6815974772943285,0.9305555555555556,5.363194954588657
bogota,scarce,nas_gru,2.849285125732422,0.8611111111111112,5.698570251464844
delhi,scarce,seasonal_naive,13.799999999999999,0.9583333333333334,27.599999999999998
delhi,scarce,lgbm_direct,2.501848279053668,0.9305555555555556,5.003696558107336
delhi,scarce,chronos,4.863158988952637,0.8055555555555556,9.726317977905275
delhi,scarce,chronos_cov,4.381614158165672,1.0,8.763228316331343
delhi,scarce,nas_gru,7.410494613647462,0.9722222222222222,14.820989227294923
dhaka,scarce,seasonal_naive,4.400000000000002,0.9861111111111112,8.800000000000004
dhaka,scarce,lgbm_direct,1.8442468569616572,1.0,3.6884937139233145
dhaka,scarce,chronos,4.9953353881835945,1.0,9.990670776367189
