model_a,model_b,n_cities,n_significant,a_sig_wins,b_sig_wins,a_sig_wins_fdr,b_sig_wins_fdr,median_p_value
chronos,chronos_cov,29,5,2,3,2,1,0.370270617835847
chronos,nas_gru,29,9,8,1,6,0,0.10745788162294838
chronos_cov,nas_gru,29,14,12,2,12,2,0.051093588646064184
lgbm_direct,chronos,29,11,11,0,6,0,0.16731419028460306
lgbm_direct,chronos_cov,29,9,9,0,6,0,0.15322078589101032
lgbm_direct,nas_gru,29,20,20,0,20,0,0.003199807140079346
seasonal_naive,chronos,29,20,0,20,0,16,0.01731026125783877
seasonal_naive,chronos_cov,29,21,0,21,0,20,0.009974162551893217
seasonal_naive,lgbm_direct,29,26,0,26,0,26,0.0006877438579905378
seasonal_naive,nas_gru,29,16,2,14,2,13,0.022005912553604085
