city,chronos,lgbm_direct,fm_advantage,usable_hours
accra,0.7796881357372157,0.4056216626360877,-0.37406647310112806,8160
addis_ababa,0.9781795401358184,0.3066952390853354,-0.671484301050483,3610
amsterdam,0.7194074987296097,0.7648934016650537,0.04548590293544397,11228
bangkok,0.66781793135934,0.4758922699145499,-0.19192566144479006,18164
berlin,1.2116489911970016,1.024567289147729,-0.18708170204927255,19574
bogota,0.7906007881186756,0.4159931029495739,-0.3746076851691017,5175
delhi,1.3454555509016937,0.7187207306710023,-0.6267348202306914,2518
dhaka,0.7914091307480148,0.5138540400767347,-0.27755509067128004,9395
hanoi,0.3952678809723099,0.2128715453230401,-0.18239633564926983,6062
jakarta,0.448866221646798,0.278707865518491,-0.170158356128307,7024
kampala,1.1204171140385832,0.4183400068091394,-0.7020771072294438,2836
karachi,0.2657124340398197,0.2105978606234176,-0.05511457341640211,5214
krakow,0.5380499499252844,0.4461915825972262,-0.09185836732805824,9344
lagos,0.5979837536621698,0.3938294770098001,-0.20415427665236974,3378
lahore,0.6766324996206801,0.8470152064637683,0.1703827068430882,5563
lima,0.5720695762034578,0.4255856347550909,-0.14648394144836685,5227
los_angeles,1.4499941610338136,0.7191376273478538,-0.7308565336859598,8195
madrid,0.8582892943601603,0.9540135739480666,0.0957242795879063,6431
manila,0.6814982304763713,0.483562979524609,-0.19793525095176223,10992
mexico_city,1.097216415683139,0.7010453781641738,-0.3961710375189652,3371
mumbai,0.9080854457845772,0.7736761375276854,-0.1344093082568918,3004
nairobi,0.7122038450130723,0.5572842971964714,-0.1549195478166009,13576
new_york,0.4683545896858124,0.3656750620168281,-0.1026795276689843,13421
paris,0.6589900526350421,0.6319228686261213,-0.02706718400892072,4457
santiago,1.0779504905386257,0.5510886608770189,-0.5268618296616068,16288
seoul,1.0063744217123065,0.4933069480956168,-0.5130674736166897,19827
sydney,0.8753991623247194,0.3831659528585544,-0.49223320946616494,7277
toronto,0.6685755225913632,0.417177113835101,-0.25139840875626224,13518
vienna,0.619662337881545,0.5590541868462873,-0.06060815103525774,6241
