model_a,model_b,n_cities,n_significant,a_sig_wins,b_sig_wins,a_sig_wins_fdr,b_sig_wins_fdr,median_p_value
chronos,chronos_base,29,2,2,0,0,0,0.4739628606656894
chronos,chronos_base_cov,29,27,27,0,27,0,2.0549979203018423e-10
chronos,chronos_cov,29,27,27,0,27,0,7.306883675974186e-12
chronos,timesfm,29,4,3,1,1,0,0.4149547053690732
chronos,timesfm_cov,29,27,27,0,27,0,2.1722844122614123e-11
chronos_base,chronos_base_cov,29,27,26,1,26,1,3.859504647924889e-10
chronos_base,timesfm,29,4,2,2,0,0,0.36805316450899184
chronos_base,timesfm_cov,29,27,27,0,27,0,4.0132773082743075e-10
chronos_base_cov,timesfm,29,27,0,27,0,27,1.9785143672155037e-11
chronos_base_cov,timesfm_cov,29,10,6,4,3,3,0.12260986876169737
chronos_cov,chronos_base,29,27,1,26,1,26,8.749744634121239e-10
chronos_cov,chronos_base_cov,29,5,3,2,1,0,0.23823769445029905
chronos_cov,timesfm,29,27,0,27,0,27,2.0939352617349385e-11
chronos_cov,timesfm_cov,29,9,4,5,1,3,0.17709984778568869
lgbm_direct,chronos,29,8,3,5,0,1,0.319973897537
lgbm_direct,chronos_base,29,4,2,2,1,1,0.17244638452045302
lgbm_direct,chronos_base_cov,29,25,25,0,25,0,3.5657224940651614e-10
lgbm_direct,chronos_cov,29,26,26,0,26,0,3.104255843405916e-10
lgbm_direct,timesfm,29,6,4,2,0,0,0.323960024819573
lgbm_direct,timesfm_cov,29,27,27,0,27,0,1.8158572510096523e-11
seasonal_naive,chronos,29,20,0,20,0,16,0.01731026125783877
seasonal_naive,chronos_base,29,18,0,18,0,15,0.019364827927873595
seasonal_naive,chronos_base_cov,29,22,20,2,19,2,0.0008179657672137652
seasonal_naive,chronos_cov,29,21,19,2,19,2,0.0012596959088809914
seasonal_naive,lgbm_direct,29,19,0,19,0,16,0.010719049339872031
seasonal_naive,timesfm,29,18,0,18,0,13,0.02851296738991703
seasonal_naive,timesfm_cov,29,21,20,1,20,1,0.0021107709092017144
timesfm,timesfm_cov,29,27,27,0,27,0,1.0973492495711512e-12
