tier,model,mean_coverage,mean_width,n_cities
rich,chronos,0.9468537414965986,11.091263089861188,14
rich,chronos_cov,0.9600340136054422,9.390842747741377,14
rich,lgbm_direct,0.931547619047619,6.2107008174906095,14
rich,nas_gru,0.9209183673469388,10.720973386083331,14
rich,seasonal_naive,0.921343537414966,18.642857142857142,14
scarce,chronos,0.9333333333333333,4.919774373372396,15
scarce,chronos_cov,0.9222222222222223,3.3233966697780164,15
scarce,lgbm_direct,0.9543650793650793,2.6962349698768246,15
scarce,nas_gru,0.942063492063492,5.960318883260091,15
scarce,seasonal_naive,0.9257936507936508,10.16,15
