city,tier,model,seed,n_hours,MAE,RMSE,MASE,nRMSE,RMSE_pct_mean,usd_per_1k,measured_j_per_1k,measured_usd_per_1k,measured_cpu_j_per_1k,measured_gpu_j_per_1k,energy_source,n_params
accra,scarce,seasonal_naive,,8160,0.6659722222222223,0.8605150266620051,1.1242791660505693,0.40197209955537333,3.0310942452319836,6.082450285989411e-10,,,,,tdp_proxy,0
accra,scarce,lgbm_direct,,8160,0.4657684733000696,0.592037919334834,0.7862997483395272,0.27655847728141225,2.0854054544706853,1.1514593891661205e-05,,,,,tdp_proxy,0
accra,scarce,chronos,,8160,0.4618520524766709,0.5896694959013181,0.7796881357372157,0.2754521164269138,2.0770628754137572,6.045799131041147e-05,,,,,tdp_proxy,47718016
accra,scarce,chronos_cov,,8160,0.5980443339664197,0.7454115727825122,1.0096048492975698,0.3482038612464005,2.625651683683906,2.435823784657663e-05,,,,,tdp_proxy,47718016
accra,scarce,timesfm,,8160,0.46446194383833134,0.5923167875345963,0.7840940950034734,0.2766887448912557,2.0863877450400397,0.0001515514218772296,,,,,tdp_proxy,231289280
accra,scarce,timesfm_cov,,8160,0.5569632518525452,0.7059163491957721,0.9402527003666042,0.3297544705261073,2.4865329684741364,0.00015060243576954236,,,,,tdp_proxy,231289280
addis_ababa,scarce,seasonal_naive,,3610,4.201388888888889,4.857654326478527,2.856698778308948,1.3448622240901607,32.000650670795004,4.212964389201564e-10,,,,,tdp_proxy,0
addis_ababa,scarce,lgbm_direct,,3610,0.7796700701671324,0.9776711777997545,0.530130058376846,0.2706724164042752,6.4405805207541365,1.1165699997979605e-05,,,,,tdp_proxy,0
addis_ababa,scarce,chronos,,3610,1.4386230296558804,2.0850385799015867,0.9781795401358185,0.5772517831488052,13.735557688175513,2.4984604167709927e-05,,,,,tdp_proxy,47718016
addis_ababa,scarce,chronos_cov,,3610,1.5352285077401986,1.8995478331591094,1.0438656164595954,0.5258978823880086,12.513604829814346,2.5225496523893927e-05,,,,,tdp_proxy,47718016
addis_ababa,scarce,timesfm,,3610,1.3602208799786037,2.1813135366441747,0.9248706627328739,0.6039059136708679,14.369785867457853,0.00014279250174998497,,,,,tdp_proxy,231289280
addis_ababa,scarce,timesfm_cov,,3610,1.295570731533616,1.6412766211889427,0.8809123420526069,0.4543944008299749,10.812197879647185,0.00014498355036468837,,,,,tdp_proxy,231289280
amsterdam,rich,seasonal_naive,,11043,2.8388888888888886,3.4694099722511256,1.272968233090199,0.7619836828176121,15.28888931065159,4.4236141413286393e-10,,,,,tdp_proxy,0
amsterdam,rich,lgbm_direct,,11043,2.1801015944281037,2.8489110942971556,0.9775655840135586,0.6257040202844525,12.554493912500854,1.2383011957050863e-05,,,,,tdp_proxy,0
