city,tier,model,seed,n_hours,MAE,RMSE,MASE,nRMSE,RMSE_pct_mean,usd_per_1k,measured_j_per_1k,measured_usd_per_1k,measured_cpu_j_per_1k,measured_gpu_j_per_1k,energy_source,n_params
accra,scarce,seasonal_naive,,8160,0.6659722222222223,0.8605150266620051,1.1242791660505693,0.40197209955537333,3.0310942452319836,4.844913645582791e-10,,,,,tdp_proxy,0
accra,scarce,lgbm_direct,,8160,0.4952868022612833,0.6235476269096585,0.8361319202535171,0.29127759655043933,2.1963958385311226,1.3531305030617794e-05,,,,,tdp_proxy,0
accra,scarce,chronos,,8160,0.4618520524766709,0.5896694959013181,0.7796881357372157,0.2754521164269138,2.0770628754137572,7.348580557138322e-05,,,,,tdp_proxy,47718016
accra,scarce,chronos_cov,,8160,0.6775664269244598,0.8117617869761813,1.1438522388585544,0.37919801483932053,2.8593649207350627,3.038625867096319e-05,,,,,tdp_proxy,47718016
accra,scarce,timesfm,,8160,0.46446194383833134,0.5923167875345963,0.7840940950034734,0.2766887448912557,2.0863877450400397,0.00017387494443028118,,,,,tdp_proxy,231289280
accra,scarce,timesfm_cov,,8160,0.6641067972317247,0.7976533777942196,1.1211299979882012,0.3726075583283421,2.8096691960169182,0.0002109752725967458,,,,,tdp_proxy,231289280
addis_ababa,scarce,seasonal_naive,,3610,4.201388888888889,4.857654326478527,2.856698778308948,1.3448622240901607,32.000650670795004,6.003456628941758e-10,,,,,tdp_proxy,0
addis_ababa,scarce,lgbm_direct,,3610,0.7382887488092732,1.012207082037005,0.501993179526988,0.2802338281190408,6.668091852936033,1.3467781458260745e-05,,,,,tdp_proxy,0
addis_ababa,scarce,chronos,,3610,1.4386230296558804,2.0850385799015867,0.9781795401358185,0.5772517831488052,13.735557688175513,3.148660763246072e-05,,,,,tdp_proxy,47718016
addis_ababa,scarce,chronos_cov,,3610,1.7839576906359769,2.2946320512890424,1.2129869169864946,0.6352786255588231,15.116291476536993,2.9003722211200508e-05,,,,,tdp_proxy,47718016
addis_ababa,scarce,timesfm,,3610,1.3602208799786037,2.1813135366441747,0.9248706627328739,0.6039059136708679,14.369785867457853,0.0001417029079655347,,,,,tdp_proxy,231289280
addis_ababa,scarce,timesfm_cov,,3610,1.6656558541860695,2.1022240347826844,1.1325485856166195,0.5820096492957257,13.848769889231281,0.00017022021526322026,,,,,tdp_proxy,231289280
amsterdam,rich,seasonal_naive,,11043,2.8388888888888886,3.4694099722511256,1.272968233090199,0.7619836828176121,15.28888931065159,4.502607798376293e-10,,,,,tdp_proxy,0
amsterdam,rich,lgbm_direct,,11043,2.0922301287510123,2.8171464319004005,0.9381636951831039,0.618727573387105,12.41451437383045,1.387820303935533e-05,,,,,tdp_proxy,0
amsterdam,rich,chronos,,11043,1.60437464316686,2.3791907384164417,0.7194074987296097,0.5225397215907037,10.48454467460194,3.0455626745404316e-05,,,,,tdp_proxy,47718016
amsterdam,rich,chronos_cov,,11043,2.569249728478379,3.2731670269735016,1.1520610405110514,0.7188830047871648,14.424091926559482,2.67069930285086e-05,,,,,tdp_proxy,47718016
amsterdam,rich,timesfm,,11043,1.7301654073927137,2.58160823378471,0.7758125406818938,0.566996511022064,11.376551876396187,0.00013402594964847796,,,,,tdp_proxy,231289280
amsterdam,rich,timesfm_cov,,11043,2.6754852768763735,3.3183301695831497,1.1996974516664358,0.7288021489668847,14.623115476328108,0.0001567693749792751,,,,,tdp_proxy,231289280
bangkok,rich,seasonal_naive,,18164,2.5034722222222223,3.026744217068161,2.5074292677436674,1.2041598714866426,9.512454816949633,4.370951703296871e-10,,,,,tdp_proxy,0
bangkok,rich,lgbm_direct,,18164,1.0382262971188945,1.2655218675218884,1.0398673413784605,0.5034751997758176,3.977283417864902,1.4573444622362364e-05,,,,,tdp_proxy,0
bangkok,rich,chronos,,18164,0.6667640288670857,1.023322913082641,0.66781793135934,0.4071187715691867,3.21610029646872,2.772661109500202e-05,,,,,tdp_proxy,47718016
bangkok,rich,chronos_cov,,18164,1.133722326744339,1.379801594323366,1.1355143142150943,0.5489402444805505,4.336441859983079,2.6952746546966307e-05,,,,,tdp_proxy,47718016
bangkok,rich,timesfm,,18164,0.9637883636686535,1.2837433915258334,0.9653117496260541,0.5107244505975916,4.034550042116153,0.000152590265614789,,,,,tdp_proxy,231289280
